date,keyword,ticker count
20220118,hike,"[('SQ', 1), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1), ('ULCC', 1), ('XMTR', 1), ('AKA', 1), ('FWRG', 1), ('CNVY', 1), ('VECT', 1), ('PATH', 1), ('NRDS', 1), ('MLNK', 1), ('IPO', 1), ('DTC', 1), ('PRCT', 1), ('OMIC', 1), ('NVEI', 1), ('ESMT', 1), ('FDMT', 1), ('BHG', 1), ('RY', 1), ('GSBD', 1), ('CME', 1), ('SCHW', 1), ('BLK', 1)]"
20220118,Fink,"[('BLK', 4)]"
20220118,jetliner,"[('EANAX', 1), ('VZ', 1), ('JBLU', 1), ('T', 1), ('AAL', 1), ('UAL', 1), ('BA', 1), ('FDX', 1)]"
20220118,intensifie,"[('AMZN', 1), ('KO', 1), ('PEP', 1), ('WMT', 1)]"
20220118,crypto,"[('MA', 1), ('COIN', 1), ('ESPIX', 1), ('GME', 1), ('AMC', 1), ('CHWY', 1), ('TSLA', 1), ('BK', 1)]"
20220118,DARTs,"[('IBKR', 1)]"
20220118,density,"[('AMZN', 1), ('KO', 1), ('PEP', 1), ('WMT', 1)]"
20220118,landing,"[('EANAX', 2), ('VZ', 2), ('T', 2), ('BA', 2), ('JBLU', 1), ('AAL', 1), ('UAL', 1), ('FDX', 1), ('T-PA', 1), ('T-PC', 1), ('JAPSY', 1), ('JPNRF', 1)]"
20220118,ash,"[('PBR-A', 1), ('REPYY', 1)]"
20220118,carrier,"[('VZ', 3), ('EANAX', 2), ('T', 2), ('BA', 2), ('T-PC', 2), ('JBLU', 1), ('AAL', 1), ('UAL', 1), ('FDX', 1), ('T-PA', 1), ('JAPSY', 1), ('JPNRF', 1), ('LUV', 1)]"
20220118,Minecraft,"[('ATVI', 4), ('MSFT', 4), ('SNEJF', 3), ('SONY', 3), ('FB', 3), ('ZNGA', 3), ('NLOK', 3), ('TCEHY', 3), ('TCTZF', 3), ('TTWO', 3), ('AAPL', 2), ('AMZN', 2), ('GOOG', 2), ('GOOGL', 2), ('ALEX', 2), ('EA', 2), ('GS', 2), ('PINS', 1), ('XRSMF', 1), ('NUAN', 1), ('NYT', 1)]"
20220118,deficit,"[('GS', 1), ('XOM', 1)]"
20220118,ordering,"[('SQ', 1)]"
20220118,U.K.,"[('PTON', 1), ('BLK', 1)]"
20220118,driller,"[('XOM', 1)]"
20220118,fortune,"[('STLA.MI', 1)]"
20220118,instance,"[('BLK', 1)]"
20220118,Bank_of_Montreal,"[('BNS', 1), ('C', 1)]"
